!	!	$.	0	0	1	0.332604	0.471554	0.195842
"	"	$(	0	0	1	0.292191	0.447523	0.260285
(	(	$(	0	0	1	0.313617	0.446087	0.240296
)	)	$(	0	0	1	0.334943	0.427278	0.237779
*	*	$(	0	0	1	0.27451	0.45098	0.27451
-	-	$(	0	0	1	0.298092	0.464229	0.237679
.	.	$.	0	0	1	0.281739	0.473789	0.244472
0	0	CARD	0	0	1	0.277778	0.527778	0.194444
1	1	CARD	0	0	1	0.276536	0.486034	0.23743
2	2	CARD	0	0	1	0.234586	0.538346	0.227068
3	3	CARD	0	0	1	0.205508	0.440678	0.353814
4	4	CARD	0	0	1	0.272085	0.5053	0.222615
5	5	CARD	0	0	1	0.386111	0.394444	0.219444
6	6	CARD	0	0	1	0.205357	0.625	0.169643
7	7	CARD	0	0	1	0.293333	0.44	0.266667
8	8	CARD	0	0	1	0.336538	0.423077	0.240385
9	9	CARD	0	0	1	0.318182	0.386364	0.295455
:	:	$.	0	0	1	0.299368	0.451862	0.24877
?	?	$.	0	0	1	0.155789	0.587368	0.256842
Abandon	Abandon	NN	0	1	0	-	-	-
Abart	Abart	NN	0	1	0	-	-	-
Abbau	Abbau	NN	0	1	0	1	0	0
Abbild	Abbild	NN	0	0	1	-	-	-
Abbildungsfehler	Abbildungsfehler	NN	0	1	0	-	-	-
Abbildverzerrung	Abbildverzerrung	NN	0	1	0	-	-	-
Abblendung	Abblendung	NN	0	1	0	-	-	-
Abbohrung	Abbohrung	NN	0	1	0	-	-	-
Abbruch	Abbruch	NN	0	1	0	0.428571	0.285714	0.285714
Abbruchstelle	Abbruchstelle	NN	0	1	0	-	-	-
Abdampf	Abdampf	NN	0	1	0	-	-	-
Abdeckblech	Abdeckblech	NN	0	0	1	-	-	-
Abdecken	abdecken	VVINF	0	1	0	0	0.666667	0.333333
Abdeckgitter	Abdeckgitter	NN	0	0	1	-	-	-
Abdeckrost	Abdeckrost	NN	0	0	1	-	-	-
Abdeckung	Abdeckung	NN	0	0	1	0.454545	0.272727	0.272727
Abdruck	Abdruck	NN	0	0	1	0	0	1
Abdrucknehmen	Abdrucknehmen	NN	0	0	1	-	-	-
Abenteuer	Abenteuer	NN	0	0	1	0	1	0
Abenteuerlichkeit	Abenteuerlichkeit	NN	0	1	0	-	-	-
Abenteuerpolitik	Abenteuerpolitik	NN	0	1	0	-	-	-
Aberglaube	Aberglaube	NN	0	1	0	-	-	-
Aberkennung	Aberkennung	NN	0	1	0	-	-	-
Aberration	Aberration	NN	0	1	0	-	-	-
Abfall	Abfall	NN	0	1	0	0.75	0.25	0
